超级偏大,这款衣服超级严重偏大
性价比极高,买了两件，质量很好，比预想的厚,非常喜欢
单品白T,想着买S号自己穿（女），发现还是太长太大，给老爸穿了，略小，不过面料应该很透气。
大,大了，而且样式不是太好，跟普通T恤不太一样
还行,基本很喜欢，但是有一个黑点不是脏的 是黑线，显得很不协调
有点长,本来是男款，我买来自己穿了！男款女穿也合适！哈哈哈哈哈哈哈哈
掉色,过水的时候掉色非常非常严重
比较合身,白色，纯棉质感舒适，略透，女生，身高167.体重106，S码合适，有点长
尺码稍微大一点点,还不错
很舒服 就是邮寄速度慢了点,老公说很舒服邮寄有点慢
有点大,我觉得挺好的，就有点大
好,还好吧
颜色偏差太大,颜色偏差太大，购买要慎重
大小,厚薄夏天穿吧，其他还不错的，女士基本最小号就可以了，基本款。
没有评论中说的那么大,我以为很大呢 结果我160 93斤穿着差不多 就肩膀这里大了一点，版型有点修身
很厚实,不错不错，价格很美好，质量不错，面料很厚实，但是却很柔软。
尺寸描述太不准确！严重误导买家！,尺寸对照表描述太不准确！严重误导买家！
整体版型偏大,手感质地中等
这个款式是紧身衣,买了比国内小一个号的，长短合适，但太紧了，像紧身衣，感觉不像正品。
太大了,衣服超级大，还好是短袖能去凑合穿着当家居服，退货也不划算了
有一种上当的感觉,真不是一般的差，我敢说放地摊上20块都不一定有人买！
质量不好,质量一般，还不如淘宝货
质量不错,质量不错，很厚实的一件棉T
偏大了,尺寸偏大一号，第一次洗了，掉色挺厉害的。穿着还行，就是领口设计偏松垮了
版型,版型有些小
太大了,太大了
大一号，国内应该180的,大一号，国内应该180的
舒适,170厘米，70公斤，M码刚刚好。
质量差，客服不负责任,做工很差，质量堪忧。同单下的三件商品只收到两件，查询物流都显示没有送到目的地。与客服沟通两次，第一次说催促，第二次说已收到。至今未收到也无人再回复。
差评,尺码不准
偏大,美国版的果然大，我183cm，88kg，穿这个xl偏肥。穿L应该合适。
需要认真注意尺寸,看了评论买的当睡衣的。厚实，瘦子穿上也不算胖，比较长，当睡衣够了。
白T,领口有些松，质量还算行吧，第一次买
不错,质量好，173/105斤，女，穿m号刚好男友风，就是很长。
有点小,看评论都说偏大，结果孩子170，62公斤买的小号，感觉有点小了。
应作到描述与实物相符，才是正道,选L码，货到后实测，胸围54cm，肩宽53cm，衣长75cm，洗后缩水2cm，产地，萨尔瓦多，100%棉，描述与实物不符
不错的 非常合适的,可以的 非常合适的 很喜欢
诶,失望，吧！肩线后移。。。
喜欢,面料很舒服，厚度适中。178CM，142斤，穿M码合适，就是有一点点长
太长了,质量不错，就是太长了，我买了S码，大小合适，但是长度太长了，至少要175以上的人才能穿。
色差问题,确定颜色没有发错吗。我要的不是收到的这个蓝色。。
冠军,国外码比国内的大一码，太大了，当睡衣家居服穿，很舒服
不怎么样,logo贴歪了
质量一般吧,衣服有点长了
舒适,170厘米，70公斤，M码刚刚好。
不合身,质量不错 但是美版太大了 和国内的有差距 S码腰身太细了 男孩子没办法穿 M大了 S小了 尴尬
怎么看都像高仿,颜色无色差，不过质感和图片相差甚远
大一个码,价格实惠，大一个码。质量还行。
价格合适不错。,白色有点激凸价格可以
舒服好穿,偏小一点，很贴身，质地比较厚，棉的摸着很舒服
不偏码,185,92.5KG，L码合身，不偏码。布料舒适。
质量好,冠军的衣服都是纯棉，穿着非常舒服，颜色有色差，实物更偏天蓝
大太多啦！,200斤的胖子，买了3XL的，结果像穿了一件化肥口袋。。。真的大
好衣服,大小合适，穿着睡觉很舒服，我买来是当睡衣穿的，感觉不错，性价比非常高
尺码合适！,面料舒适，做工精细！
非常棒的基础款,大小合适，做工一般。但是棉的质量感觉可以
很值的一次购物,本人183 72kg，骨骼算大， M码正常，L宽松类似街头风，面料是我喜欢的那种，给你们做个参考吧。
码,质量都可以就是码子和国内不一样
偏大,老公175/180 穿了大 给我当睡衣穿了
刚刚好,大小刚刚好，175，75kg，衣服略长
质量很好,嘻哈风格没问题，当打底杉的变建议买比平时小两号的。
有点长,衣服长了不适合亚洲人的版型，身高172体重160穿m码大小合适长2CM左右
色偏啊色偏,除了色偏就是尺寸有点偏小，购买请注意
舒适,170厘米，70公斤，M码刚刚好。
东西很好速度很快,东西很好速度很快
有点厚,质量不错，样式也好，稍微有点厚
过大,做工还不错，就是偏大。
太大,很厚实，就是太大，尺码没拿捏好，下次买小点的
太大,很厚实，就是太大，尺码没拿捏好，下次买小点的
。,挺好的 就是线头有点多。。。
质量厚实,买s小了，买m又大了
偏薄，大小正好,偏薄，大小合适，属于无缝的那种
太大了天啊,太大了简直太大了我的天
尺码偏大,还行，就是m码有点偏大。175的个子得穿s码的才行。
质量厚实,买s小了，买m又大了
老外的尺码真是一言难尽,特惠的时候买了两件，灰色和白色，都是S码，灰色马马虎虎可以穿，白色就明显长了一截，不太明白老外是怎么定义尺码的。
挺好,整体都挺好，就是我太瘦，所以衣服稍显偏宽松，身高一米八，体重70左右的话，M码正好
不错,还不错，稍微小了一点。
非常不满意，尺码不准,按照尺码标挑选，结果很大很大很大
能退吗,比国内偏大一号 或者一号半
舒服,穿起来很舒服~~也很帅气~~价格超级便宜~~~只是颜色好像和图片有一点点差别
衣服大小,服务态度很好 衣服确实很大
很好,很好。以前从不去评价，不知道浪费了多少积分，现在知道积分可以换钱，就要好好评价了，
合适,国人普通身材买中号最合适小号适合青少年，或偏瘦成人
欧码确实大,衣服质量不错，就是欧码确实大，按照平时xl买的，大的不要不要的。本人175cm 76kg M码足矣
不要买,衣服只有胸标，没有袖标，骗子
挺好的,衣服很好，165CM，60KG刚好合适
尺寸描述太不准确！严重误导买家！,尺寸对照表描述太不准确！严重误导买家！
这款色差非常大,这款真的是色差非常大
刚刚好,大小刚刚好，175，75kg，衣服略长
舒适,个人喜欢偏大的 很喜欢 穿着也很舒服
太大了,太大了
很值的一次购物,本人183 72kg，骨骼算大， M码正常，L宽松类似街头风，面料是我喜欢的那种，给你们做个参考吧。
诶,失望，吧！肩线后移。。。
舒适,170厘米，70公斤，M码刚刚好。
太大了,太大了，买个m的180的身高正好
这款色差非常大,这款真的是色差非常大
这个价买个C标,还行 美货也就那样了 Champion算好的了
178cm 65kg 打底衫 S号,178cm 65KG 穿S号打底衫正好，如果要宽松可以穿M号纯白的是全棉的，还算性价比高
看好尺寸购买,比较薄，做工不太好，快60买的，觉得国内明显会比这个质量好
大太多啦！,200斤的胖子，买了3XL的，结果像穿了一件化肥口袋。。。真的大
便宜质量也过的去,比国内买便宜太多了，质量也还过的去
没想到这里也是劣质品成堆,领口太小了，衣服面料很差劲，不联系，购买
太长了,质量不错，就是太长了，我买了S码，大小合适，但是长度太长了，至少要175以上的人才能穿。
非常好,很不错 质量很好 买了很多
码号大的离谱,质量一般，颜色有偏差，码号偏大，我173，体重73公斤，L号的太大了，只有180以上的人才能穿，
老外的尺码真是一言难尽,特惠的时候买了两件，灰色和白色，都是S码，灰色马马虎虎可以穿，白色就明显长了一截，不太明白老外是怎么定义尺码的。
尺码合适，应该相当于m号,尺码合适，应该相当于m号
质量不错,质量不错，很厚实的一件棉T
很满意,现在这个牌子火得不行，价格也是水涨船高，到这款的活动价还是很实惠的，面料很舒适，版型宽松，颜色很正，很满意
还行,质量不错，买了两件，不同产地区别还是蛮大，料子厚薄及大小不一样
领口太大,衣服稍微有点大，领口太大了，布料一般般。穿两次就想扔了
身高179，体重87KG合身,尺寸合身，上身舒服，喜欢！身高179，体重87KG
完美的一次购物,大小合适，穿着舒适，关键是价格白菜，值得购买。
太大了,太大了，整整大了一个号都不止，没法穿啊
衣服尺码比一般的大,我身高一米七三，体重七五公斤，L码的显得太大了
米色t恤不是纯色谨慎购买,没有去年买的质量厚，而且 神级别的色差，不是纯色，带雪花的颜色，失望
大一号，国内应该180的,大一号，国内应该180的
非常不满意，尺码不准,按照尺码标挑选，结果很大很大很大
色偏啊色偏,除了色偏就是尺寸有点偏小，购买请注意
Little small tight!,太小了根本无法穿 建议比正常尺码大一码！ too tight! No fit!
看个人身高跟颜值,舒适，清爽，非常适合身高高，颜值高的朋友，不然就是屌丝。
中评,稍微有点大，穿着感觉还不错。
还行,基本很喜欢，但是有一个黑点不是脏的 是黑线，显得很不协调
色差问题,确定颜色没有发错吗。我要的不是收到的这个蓝色。。
没想象中的那么大,本人178，胸围95左右，买的S，胸部紧至露点。但袖子又飞起来，衣长还偏长。除了尺码不合适，其他用料、颜色都不错。
舒适,材质穿着柔软舒适，可能是棉质原因，袖口洗过后略有变大，建议轻柔手洗。
挺不错，味道也很好闻,价格实惠，穿着舒服。
好看,很漂亮，衣服穿着很合适
舒适,材质穿着柔软舒适，可能是棉质原因，袖口洗过后略有变大，建议轻柔手洗。
太大了,太大了
质量还可以,170CM，76KG大小比较合适
简洁,简洁的款式，简单的色彩，不错的穿着感受。已经被儿子抢去穿了。
挺好看,女生穿小码刚好，小清新
中规中矩吧 料子普普通通 料子普普通通 稍微长了点 到也没必要去海淘,中规中矩吧 料子普普通通 稍微长了点 到也没必要去海淘
质量,质量很差，洗几次就变形了，领子变得很大
单品白T,想着买S号自己穿（女），发现还是太长太大，给老爸穿了，略小，不过面料应该很透气。
还行,胸围有点肥 其它都好 码数大一码
尺码很大,178，155斤，穿L很大，估计M就很宽松了
易皱，破洞,差极了，穿了两次就破了，容易皱，衣服也不厚，一份钱一分货吧
较厚较大。,买了想当打底衫穿，但是有些肥了。
挺好的！！,上身瘦了下摆长了 其他挺好。
正品，舒适，亚洲建议小一码,这款有点偏长。欧洲码，亚洲人穿稍微有些偏大，下次买得小一号了。材质非常好，划算，正品。
码数偏大,s(165)码还那么长
还不错，容易起毛,还不错，稍微大点…会起毛
掉色严重,掉色严重啊，老公118胸围穿L码合适
码数偏大,s(165)码还那么长
很好,尺码合适，凑单的，很好
这个款式是紧身衣,买了比国内小一个号的，长短合适，但太紧了，像紧身衣，感觉不像正品。
